,user,name,rating,main_category,sub_category
0,user0,HimQuen Girl's Trendy Wedges Sandal For Women/Girl's High Heel Wedges Sandal For Women Sandal Criss Cross Strap Wedges San...,4,women's shoes,Shoes
1,user0,BATA womens Deva Sandal Black Heeled Sandal - 6 UK (6616712),4,women's shoes,Shoes
2,user0,Skechers Womens Skybound Sneaker,4,women's shoes,Shoes
3,user0,AZORES Women's Black Flats,5,women's shoes,Fashion Sandals
4,user0,Skechers Womens City Pro - Glow on Sneaker,5,women's shoes,Shoes
5,user0,Surexo Women's Fashion Bellies Loafer and Moccasins,4,women's shoes,Shoes
6,user0,Campus Women's Kim Walking Shoes,4,women's shoes,Shoes
7,user0,Mochi Women Synthetic Women Sandals (32-503),5,women's shoes,Fashion Sandals
8,user0,Marc Loire Women Comfortable Metallic Loafer Mules Wedges Casual & Formal Footwear,4,women's shoes,Shoes
9,user0,VENDOZ Women Premium Ankle Length Casual Boots,4,women's shoes,Shoes
10,user0,Denill Comfortable Fashion Sandal Collection For Women And Girls,4,women's shoes,Fashion Sandals
11,user0,HEALTH FIT Women's Platform,4,women's shoes,Shoes
12,user0,"Kraasa Casual Sneakers for Women | Latest Trend Casual Shoes, Walking Shoes for Women",5,women's shoes,Shoes
13,user0,Do Bhai Women Heel Sandal…,5,women's shoes,Fashion Sandals
14,user0,Skechers Womens Bobs B Cute - Walkways Sneaker,4,women's shoes,Shoes
15,user0,Mochi Women Synthetic Sandals (32-1228),4,women's shoes,Fashion Sandals
16,user0,XE Looks Doctor Sole Comfortable Tan Flats Sandals For Women 1.5 Inch Heel,4,women's shoes,Fashion Sandals
17,user0,Skechers womens SKECH-AIR DYNAMIGHT-TOP PRIZE NAVY/CORAL Sneakers - 5 UK (149340-NVCL),4,women's shoes,Shoes
18,user0,BATA Girl's Susan Thong Fashion Slippers,5,women's shoes,Shoes
19,user0,TAJNAN Floral Rajasthani Bellies/Juti for Women,5,women's shoes,Shoes
20,user0,Carlton London Women's Cll-6197 Flat Sandal,5,women's shoes,Shoes
21,user0,"Irsoe Latest Collection, Comfortable & Fashionable Bellies Women's and Girl's",4,women's shoes,Shoes
22,user0,BK DREAM Women's Cross Strap Heels Sandals,5,women's shoes,Fashion Sandals
23,user0,BATA Womens Stretch Sneaker,5,women's shoes,Shoes
24,user0,Reebok mens Rbk Fulgere Slide Flip-Flop,4,women's shoes,Shoes
25,user0,BATA Women Dessa Fashion Sandals,5,women's shoes,Fashion Sandals
26,user0,saanvishubh Latest & Comfortable Casual Bellie for Girls and Womens,5,women's shoes,Shoes
27,user0,Flavia Women's Running Shoes,4,women's shoes,Shoes
28,user0,DICY Slippers for Women Daily Use at Home Flip Flop Bathroom Rubber Slippers for Girls Stylish Casual Soft Slippers,5,women's shoes,Shoes
29,user0,layasa Comfotable Lightweight Casual Sneaker for Women/Girls,4,women's shoes,Shoes
30,user0,Retro Walk Women Fashion Heels,5,women's shoes,Shoes
31,user0,Hush Puppies Womens Sadie Ballet Ballet Flat,4,women's shoes,Ballerinas
32,user0,TRASE Women's Fashion Sandals | Faux Leather Comfortable and Stylish Wedge Slippers | For Casual Wear & Formal Wear Occasi...,4,women's shoes,Shoes
33,user0,BATA womens Solitaire Thong Slipper,4,women's shoes,Shoes
34,user0,"Marc Loire Women's Faux Leather Shimmer Open Toe Comfortable Block Heel Sandals for Casual Wear, Party and Formal Occasions.",4,women's shoes,Shoes
35,user0,Carlton London Women's Cll-6197 Flat Sandal,4,women's shoes,Shoes
36,user0,Mochi Womens Synthetic Mules,5,women's shoes,Shoes
37,user0,Mochi Women's Shoes (31-5221),5,women's shoes,Shoes
38,user0,Creattoes Women Fashion Casual Boot High Ankle Heel for Girls Boot,4,women's shoes,Shoes
